id,release_date,primary_title,production_budget,domestic_gross,worldwide_gross,movie_id,original_title,runtime_minutes,genre1,genre2,genre3
42,2018,Black Panther,200000000,700059566,1348258224,tt1825683,Black Panther,134.0,Action,Adventure,Sci-Fi
7,2018,Avengers Infinity War,300000000,678815482,2048134200,tt4154756,Avengers: Infinity War,149.0,Action,Adventure,Sci-Fi
34,2015,Jurassic World,215000000,652270625,1648854864,tt0369610,Jurassic World,124.0,Action,Adventure,Sci-Fi
27,2012,The Avengers,225000000,623279547,1517935897,tt0848228,The Avengers,143.0,Action,Adventure,Sci-Fi
44,2018,Incredibles 2,200000000,608581744,1242520711,tt3606756,Incredibles 2,118.0,Action,Adventure,Animation
45,2016,Rogue One A Star Wars Story,200000000,532177324,1049102856,tt3748528,Rogue One,133.0,Action,Adventure,Sci-Fi
35,2017,Beauty and the Beast,160000000,504014165,1259199706,tt9173998,Beauty and the Beast,60.0,Family,Fantasy,Musical
46,2016,Finding Dory,200000000,486295561,1021215193,tt2277860,Finding Dory,97.0,Adventure,Animation,Comedy
4,2015,Avengers Age of Ultron,330600000,459005868,1403013963,tt2395427,Avengers: Age of Ultron,141.0,Action,Adventure,Sci-Fi
11,2012,The Dark Knight Rises,275000000,448139099,1084439099,tt1345836,The Dark Knight Rises,164.0,Action,Thriller,
96,2019,Captain Marvel,175000000,426525952,1123061550,tt4154664,Captain Marvel,123.0,Action,Adventure,Sci-Fi
38,2013,The Hunger Games Catching Fire,130000000,424668047,864868047,tt1951264,The Hunger Games: Catching Fire,146.0,Action,Adventure,Sci-Fi
9,1994,The Lion King,79300000,421785283,986214868,tt6105098,The Lion King,,Adventure,Animation,Drama
13,2018,Jurassic World Fallen Kingdom,170000000,417719760,1305772799,tt4881806,Jurassic World: Fallen Kingdom,128.0,Action,Adventure,Sci-Fi
55,2017,Wonder Woman,150000000,412563408,821133378,tt0451279,Wonder Woman,141.0,Action,Adventure,Fantasy
48,2013,Iron Man 3,200000000,408992272,1215392272,tt1300854,Iron Man Three,130.0,Action,Adventure,Sci-Fi
17,2016,Captain America Civil War,250000000,408084349,1140069413,tt3498820,Captain America: Civil War,147.0,Action,Adventure,Sci-Fi
38,2012,The Hunger Games,80000000,408010692,677923379,tt1392170,The Hunger Games,142.0,Action,Adventure,Sci-Fi
38,2017,Jumanji Welcome to the Jungle,90000000,404508916,964496193,tt2283362,Jumanji: Welcome to the Jungle,119.0,Action,Adventure,Comedy
56,2013,Frozen,150000000,400738009,1272469910,tt1611845,Wai nei chung ching,92.0,Adventure,Drama,Sport
49,2017,Guardians of the Galaxy Vol 2,200000000,389813101,862316233,tt3896198,Guardians of the Galaxy Vol. 2,136.0,Action,Adventure,Comedy
26,2016,The Secret Life of Pets,75000000,368384330,886750534,tt2709768,The Secret Life of Pets,87.0,Adventure,Animation,Comedy
22,2013,Despicable Me 2,76000000,368065385,975216835,tt1690953,Despicable Me 2,98.0,Adventure,Animation,Comedy
97,2016,The Jungle Book,175000000,364001123,962854547,tt2226178,The Jungle Book,64.0,Animation,,
56,2016,Deadpool,58000000,363070709,801025593,tt1431045,Deadpool,108.0,Action,Adventure,Comedy
67,2015,Furious 7,190000000,353007020,1518722794,tt2820852,Furious Seven,137.0,Action,Crime,Thriller
57,2014,American Sniper,58000000,350126372,547326372,tt2179136,American Sniper,133.0,Action,Biography,Drama
57,2016,Zootopia,150000000,341268248,1019429616,tt2948356,Zootopia,108.0,Adventure,Animation,Comedy
62,2014,The Hunger Games Mockingjay  Part 1,125000000,337135885,766575131,tt1951265,The Hunger Games: Mockingjay - Part 1,123.0,Action,Adventure,Sci-Fi
73,2015,Minions,74000000,336045770,1160336173,tt2293640,Minions,91.0,Adventure,Animation,Comedy
36,2018,Aquaman,160000000,335061807,1146894640,tt1477834,Aquaman,143.0,Action,Adventure,Fantasy
99,2017,SpiderMan Homecoming,175000000,334201140,880166350,tt2250912,Spider-Man: Homecoming,133.0,Action,Adventure,Sci-Fi
14,2014,Guardians of the Galaxy,170000000,333172112,770867516,tt2015381,Guardians of the Galaxy,121.0,Action,Adventure,Comedy
18,2016,Batman v Superman Dawn of Justice,250000000,330360194,867500281,tt2975590,Batman v Superman: Dawn of Justice,151.0,Action,Adventure,Fantasy
24,2017,It,35000000,327481748,697457969,tt1396484,It,135.0,Horror,Thriller,
100,2016,Suicide Squad,175000000,325100054,746059887,tt1386697,Suicide Squad,123.0,Action,Adventure,Fantasy
15,2018,Deadpool 2,110000000,324591735,786680557,tt5463162,Deadpool 2,119.0,Action,Adventure,Comedy
82,2017,Thor Ragnarok,180000000,315058289,846980024,tt3501632,Thor: Ragnarok,130.0,Action,Adventure,Comedy
52,2012,Skyfall,200000000,304360277,1110526981,tt1074638,Skyfall,143.0,Action,Adventure,Thriller
19,2012,The Hobbit An Unexpected Journey,250000000,303003568,1017003568,tt0903624,The Hobbit: An Unexpected Journey,169.0,Adventure,Family,Fantasy
29,2013,Man of Steel,225000000,291045518,667999518,tt0770828,Man of Steel,143.0,Action,Adventure,Sci-Fi
39,2015,The Hunger Games Mockingjay  Part 2,160000000,281723902,648986787,tt1951266,The Hunger Games: Mockingjay - Part 2,137.0,Action,Adventure,Sci-Fi
16,2013,Gravity,110000000,274092705,693698673,tt1454468,Gravity,91.0,Drama,Sci-Fi,Thriller
29,2016,Sing,75000000,270329045,634454789,tt3470600,Sing,108.0,Animation,Comedy,Family
53,2013,Monsters University,200000000,268488329,743588329,tt1453405,Monsters University,104.0,Adventure,Animation,Comedy
30,2017,Despicable Me 3,75000000,264624300,1034727750,tt3469046,Despicable Me 3,89.0,Adventure,Animation,Comedy
31,2012,The Amazing SpiderMan,220000000,262030663,757890267,tt0948470,The Amazing Spider-Man,136.0,Action,Adventure,Sci-Fi
16,2014,Captain America The Winter Soldier,170000000,259746958,714401889,tt1843866,Captain America: The Winter Soldier,136.0,Action,Adventure,Sci-Fi
21,2013,The Hobbit The Desolation of Smaug,250000000,258366855,960366855,tt1170358,The Hobbit: The Desolation of Smaug,161.0,Adventure,Fantasy,
44,2014,The Lego Movie,60000000,257784718,457729388,tt1490017,The Lego Movie,100.0,Action,Adventure,Animation
22,2014,The Hobbit The Battle of the Five Armies,250000000,255119788,945577621,tt2310332,The Hobbit: The Battle of the Five Armies,144.0,Adventure,Fantasy,
62,2016,Moana,150000000,248757044,637517365,tt3521164,Moana,107.0,Adventure,Animation,Comedy
81,2019,Aladdin,182000000,246734314,619234314,tt9698912,Aladdin,,Fantasy,,
37,2014,Transformers Age of Extinction,210000000,245439076,1104039076,tt2109248,Transformers: Age of Extinction,165.0,Action,Adventure,Sci-Fi
36,1984,Ghostbusters,30000000,242212467,295212467,tt1289401,Ghostbusters,116.0,Action,Comedy,Fantasy
84,2014,Maleficent,180000000,241407328,758536735,tt1587310,Maleficent,97.0,Action,Adventure,Family
77,2012,Brave,185000000,237282182,554606532,tt8358722,Brave,,Drama,,
54,2013,Oz the Great and Powerful,200000000,234770996,490359051,tt1623205,Oz the Great and Powerful,130.0,Adventure,Family,Fantasy
85,2016,Fantastic Beasts and Where to Find Them,180000000,234037575,802402853,tt3183660,Fantastic Beasts and Where to Find Them,132.0,Adventure,Family,Fantasy
55,2014,XMen Days of Future Past,200000000,233921534,747862775,tt1877832,X-Men: Days of Future Past,132.0,Action,Adventure,Sci-Fi
28,2016,Doctor Strange,165000000,232641920,676404566,tt1211837,Doctor Strange,115.0,Action,Adventure,Fantasy
9,2017,Justice League,300000000,229024295,655945209,tt0974015,Justice League,120.0,Action,Adventure,Fantasy
68,2013,Star Trek Into Darkness,190000000,228778661,467381584,tt1408101,Star Trek Into Darkness,132.0,Action,Adventure,Sci-Fi
46,2015,The Martian,108000000,228433663,655271443,tt3659388,The Martian,144.0,Adventure,Drama,Sci-Fi
59,2017,Logan,127000000,226277068,615461394,tt1483010,Logan,94.0,Action,Drama,Sci-Fi
23,2017,The Fate of the Furious,250000000,225764765,1234846267,tt4630562,The Fate of the Furious,136.0,Action,Crime,Thriller
29,2014,Big Hero 6,165000000,222527828,652127828,tt2245084,Big Hero 6,102.0,Action,Adventure,Animation
84,2012,Ted,50000000,218665740,556016627,tt1637725,Ted,106.0,Comedy,Fantasy,
41,2018,AntMan and the Wasp,130000000,216648740,623144660,tt5095030,Ant-Man and the Wasp,118.0,Action,Adventure,Comedy
97,2012,Madagascar 3 Europes Most Wanted,145000000,216391482,746921271,tt1277953,Madagascar 3: Europe's Most Wanted,93.0,Adventure,Animation,Comedy
84,2018,Bohemian Rhapsody,55000000,216303339,894985342,tt1727824,Bohemian Rhapsody,134.0,Biography,Drama,Music
12,2018,Solo A Star Wars Story,275000000,213767512,393151347,tt3778644,Solo: A Star Wars Story,135.0,Action,Adventure,Fantasy
3,2018,Venom,116000000,213511408,853628605,tt1931601,Venom,92.0,Thriller,,
17,2014,Dawn of the Planet of the Apes,170000000,208545589,710644566,tt2103281,Dawn of the Planet of the Apes,130.0,Action,Adventure,Drama
66,2013,Thor The Dark World,150000000,206362140,644602516,tt1981115,Thor: The Dark World,112.0,Action,Adventure,Fantasy
56,2014,The Amazing SpiderMan 2,200000000,202853933,708996336,tt1872181,The Amazing Spider-Man 2,142.0,Action,Adventure,Sci-Fi
69,2013,World War Z,190000000,202359711,531514650,tt0816711,World War Z,116.0,Action,Adventure,Horror
13,2015,Cinderella,95000000,201151353,534551353,tt1661199,Cinderella,105.0,Musical,,
41,2014,Godzilla,160000000,200676069,529076069,tt0831387,Godzilla,123.0,Action,Adventure,Sci-Fi
10,2015,Spectre,300000000,200074175,879620923,tt2379713,Spectre,148.0,Action,Adventure,Thriller
85,2014,22 Jump Street,50000000,191719337,331333876,tt2294449,22 Jump Street,112.0,Action,Comedy,Crime
68,2014,Teenage Mutant Ninja Turtles,125000000,191204754,485004754,tt1291150,Teenage Mutant Ninja Turtles,101.0,Action,Adventure,Comedy
69,2017,Dunkirk,150000000,190068280,499837368,tt5013056,Dunkirk,106.0,Action,Drama,History
31,2012,WreckIt Ralph,165000000,189412677,496511521,tt1772341,Wreck-It Ralph,101.0,Adventure,Animation,Comedy
66,2018,A Quiet Place,17000000,188024361,334522294,tt6347308,A Quiet Place,80.0,Drama,Horror,Sci-Fi
32,2014,Interstellar,165000000,188017894,666379375,tt0816692,Interstellar,169.0,Adventure,Drama,Sci-Fi
26,2013,The Croods,135000000,187168425,573068425,tt0481499,The Croods,98.0,Action,Adventure,Animation
14,2015,Pitch Perfect 2,29000000,184296230,287625468,tt2848292,Pitch Perfect 2,115.0,Comedy,Music,
27,2015,The Revenant,135000000,183637894,532938302,tt3300078,The Revenant,80.0,Horror,,
73,2012,Lincoln,65000000,182207973,273346281,tt3784440,Lincoln,17.0,Biography,Drama,History
43,2015,AntMan,130000000,180202163,518858449,tt0478970,Ant-Man,117.0,Action,Adventure,Comedy
35,2012,Men in Black 3,215000000,179020854,654213485,tt1409024,Men in Black 3,106.0,Action,Adventure,Comedy
44,2015,Home,130000000,177397510,385997896,tt2075392,Yurt,76.0,Drama,,
99,2014,How to Train Your Dragon 2,145000000,177002924,614586270,tt1646971,How to Train Your Dragon 2,102.0,Action,Adventure,Animation
49,2017,Get Out,5000000,176040665,255367951,tt5052448,Get Out,104.0,Horror,Mystery,Thriller
41,2017,The Lego Batman Movie,80000000,175750384,310660018,tt4116284,The Lego Batman Movie,104.0,Action,Animation,Comedy
