primary_title,director,Distributor,runtime_minutes
Gimme Shelter,Ron Krauss,Roadside Attractions,101.0
One for the Money,Julie Anne Robinson,Lionsgate,91.0
The Little Things,Darcy Hennessey Turenne,Warner Bros.,50.0
Parker,Taylor Hackford,FilmDistrict,118.0
Albert Nobbs,Rodrigo García,Roadside Attractions,113.0
Paranormal Activity: The Marked Ones,Christopher Landon,Paramount Pictures,84.0
Haywire,Steven Soderbergh,Relativity Media,93.0
Man on a Ledge,Asger Leth,Lionsgate,102.0
Quartet,Dustin Hoffman,The Weinstein Company,94.0
The Finest Hours,Craig Gillespie,Walt Disney Studios Motion Pictures,117.0
The Forest,Shan Serafin,Focus Features,98.0
Split,Robbie Walsh,Universal Pictures,
Broken City,Allen Hughes,Twentieth Century Fox,109.0
Mama,Kabat Esosa Egbon,Universal Pictures,
Taken 3,Olivier Megaton,Twentieth Century Fox,108.0
Gold,Stephen Gaghan,The Weinstein Company,120.0
Joyful Noise,Todd Graff,Warner Bros.,118.0
Weathering with You,Makoto Shinkai,GKIDS,
Panga,Ashwiny Iyer Tiwari,FIP,
13 Hours,Michael Bay,Paramount Pictures,144.0
Mary and the Witch's Flower,Hiromasa Yonebayashi,GKIDS,103.0
The Last Stand,Ciaran Creagh,Lionsgate,93.0
The Boy,Craig William Macneill,STX Entertainment,105.0
Dirty Grandpa,Dan Mazer,Lionsgate,102.0
The 5th Wave,J Blakeson,Sony Pictures Entertainment (SPE),112.0
Paddington,Paul King,,95.0
That Awkward Moment,Tom Gormican,Focus Features,94.0
Glass,Carlos Borges,Universal Pictures,
Belle,Mark Eiden,GKIDS,
Dragon Ball Super: Broly,Tatsuya Nagamine,FUNimation Entertainment,100.0
A Haunted House,Michael Tiddes,Open Road Films (II),86.0
The Assistant,Christophe Ali,Bleecker Street Media,87.0
Gangster Squad,Ruben Fleischer,Warner Bros.,113.0
A Dog's Way Home,Charles Martin Smith,Sony Pictures Entertainment (SPE),96.0
Underworld: Blood Wars,Anna Foerster,Screen Gems,91.0
Monster Trucks,Chris Wedge,Paramount Pictures,104.0
Beanpole,Kantemir Balagov,Kino Lorber,130.0
Mystify: Michael Hutchence,Richard Lowenstein,Fathom Events,
The Traitor,Marco Bellocchio,Sony Pictures Classics,135.0
Hansel & Gretel: Witch Hunters,Tommy Wirkola,Paramount Pictures,88.0
xXx: Return of Xander Cage,D.J. Caruso,Paramount Pictures,107.0
Chhapaak,Meghna Gulzar,FIP,
A Dog's Purpose,Lasse Hallström,Universal Pictures,100.0
Resident Evil: The Final Chapter,Paul W.S. Anderson,Screen Gems,107.0
The Bye Bye Man,Stacy Title,STX Entertainment,96.0
The Founder,John Lee Hancock,The Weinstein Company,115.0
The Rhythm Section,Reed Morano,Paramount Pictures,
The Upside,Neil Burger,STX Entertainment,126.0
"I, Frankenstein",Stuart Beattie,Lionsgate,92.0
Labor Day,Jason Reitman,Paramount Pictures,111.0
The Legend of Hercules,Renny Harlin,Lionsgate,99.0
Escape Room,Will Wernick,Sony Pictures Entertainment (SPE),81.0
Devil's Due,Tyler Gillett,Twentieth Century Fox,89.0
