primary_title,genre1,genre2,genre3
Gimme Shelter,Drama,,
One for the Money,Action,Comedy,Crime
The Little Things,Documentary,Sport,
Parker,Action,Crime,Thriller
Albert Nobbs,Drama,Romance,
Paranormal Activity: The Marked Ones,Horror,Mystery,Thriller
Haywire,Action,Drama,Thriller
Man on a Ledge,Action,Adventure,Crime
Quartet,Comedy,Drama,
The Finest Hours,Action,Drama,History
The Forest,Horror,Thriller,
Split,Crime,,
Broken City,Crime,Drama,Thriller
Mama,Drama,,
Taken 3,Action,Thriller,
Gold,Adventure,Drama,Thriller
Joyful Noise,Comedy,Drama,Music
Weathering with You,Animation,Fantasy,Romance
Panga,,,
13 Hours,Action,Drama,History
Mary and the Witch's Flower,Adventure,Animation,Family
The Last Stand,Drama,,
The Boy,Drama,Horror,Thriller
Dirty Grandpa,Comedy,,
The 5th Wave,Action,Adventure,Drama
Paddington,Adventure,Comedy,Family
That Awkward Moment,Comedy,Romance,
Glass,,,
Belle,,,
Dragon Ball Super: Broly,Action,Adventure,Animation
A Haunted House,Comedy,Fantasy,
The Assistant,Drama,Thriller,
Gangster Squad,Action,Crime,Drama
A Dog's Way Home,Adventure,Drama,Family
Underworld: Blood Wars,Action,Adventure,Fantasy
Monster Trucks,Action,Adventure,Comedy
Beanpole,Drama,,
Mystify: Michael Hutchence,Documentary,,
The Traitor,Biography,Crime,Drama
Hansel & Gretel: Witch Hunters,Action,Fantasy,Horror
xXx: Return of Xander Cage,Action,Adventure,Thriller
Chhapaak,Biography,,
A Dog's Purpose,Adventure,Comedy,Drama
Resident Evil: The Final Chapter,Action,Horror,Sci-Fi
The Bye Bye Man,Drama,Fantasy,Horror
The Founder,Biography,Drama,History
The Rhythm Section,Action,Mystery,Thriller
The Upside,Comedy,Drama,
"I, Frankenstein",Action,Fantasy,Horror
Labor Day,Drama,Romance,
The Legend of Hercules,Action,Adventure,Fantasy
Escape Room,Horror,Thriller,
Devil's Due,Horror,Mystery,Thriller
Sleepless,Drama,,
The Last Full Measure,Drama,War,
Movie 43,Comedy,,
Ride Along,Action,,
Paddington 2,Adventure,Comedy,Family
Bad Boys for Life,Action,Comedy,Crime
The Commuter,Action,Mystery,Thriller
12 Strong,Action,Drama,History
